id,score,target
11963140,2-2,draw
11980887,1-0,home
11959927,1-1,draw
11962410,2-3,away
11959926,0-4,away
11956262,2-0,home
11959585,2-0,home
11955951,0-1,away
11917090,2-2,draw
11917089,0-0,draw
11914240,2-0,home
11906116,3-0,home
11906114,6-1,home
11906113,1-1,draw
11906112,1-2,away
11906111,1-2,away
11906110,2-2,draw
11903397,1-3,away
11903395,1-0,home
11891730,0-0,draw
11891729,0-0,draw
11890168,0-2,away
11888439,3-2,home
11876158,1-1,draw
11876157,2-1,home
11872060,1-1,draw
11871720,0-1,away
11865672,1-2,away
11955953,3-0,home
11955955,1-1,draw
11955956,0-0,draw
11955957,1-0,home
11959582,1-2,away
11959581,3-0,home
11959580,4-1,home
11959579,3-0,home
11959578,3-1,home
11956951,3-1,home
11956950,0-3,away
11956949,0-2,away
11956948,1-0,home
11956947,1-3,away
11959586,2-2,draw
11956945,0-1,away
11956605,1-0,home
11956604,0-1,away
11956598,2-0,home
11956596,1-1,draw
11956264,3-3,draw
11956263,1-2,away
11956259,0-2,away
11956258,2-3,away
11956257,2-1,home
11955959,0-2,away
11956943,2-0,home
11956603,1-1,draw
11956946,1-1,draw
11904064,4-1,home
11916315,2-2,draw
11878001,0-1,away
11877998,3-1,home
11877997,1-0,home
11917091,2-0,home
11921364,3-1,home
11921365,0-0,draw
11937580,2-1,home
11937582,3-0,home
11937584,0-1,away
11948240,1-0,home
11948242,2-0,home
11964243,2-2,draw
11959117,1-2,away
11897604,1-1,draw
11956260,3-2,home
11917586,1-1,draw
11935272,1-3,away
11887090,2-5,away
11935277,1-1,draw
11935278,0-3,away
11935280,2-2,draw
11917093,1-4,away
11917088,2-0,home
11905520,0-3,away
11905521,1-0,home
11875572,0-0,draw
11868229,0-2,away
11917092,0-2,away
11864146,1-0,home
11867362,2-2,draw
11960237,0-0,draw
11867365,1-1,draw
11868761,2-1,home
11960234,2-0,home
11873921,0-0,draw
11880150,2-1,home
11904742,1-1,draw
11904743,2-0,home
11904744,1-2,away
11904745,1-2,away
11904846,1-0,home
11905519,4-0,home
11898752,2-2,draw
11935653,1-3,away
11905522,2-3,away
11935654,2-2,draw
11885117,0-2,away
11982996,3-0,home
11936370,0-1,away
11936367,3-1,home
11966536,1-0,home
11966537,0-2,away
11981423,3-1,home
11981428,1-2,away
11981429,3-1,home
11982995,3-0,home
11983000,2-2,draw
11983002,1-1,draw
11983037,1-1,draw
11983001,0-0,draw
11977412,1-1,draw
11885118,1-0,home
11935660,0-3,away
11977416,1-0,home
11977415,0-0,draw
11936365,0-0,draw
11977411,0-0,draw
11977410,0-3,away
11935657,0-3,away
11936363,1-0,home
11977409,3-0,home
11983798,1-0,home
11906117,1-2,away
11886156,4-2,home
11917588,1-5,away
11917587,2-2,draw
11917095,1-1,draw
11927781,1-2,away
11978901,4-0,home
11978899,0-0,draw
11978898,1-0,home
11933615,1-3,away
11978903,0-1,away
11933620,0-4,away
11934534,2-3,away
11983038,5-1,home
11978902,1-0,home
11934533,1-2,away
11933927,0-0,draw
11934231,0-0,draw
11933616,0-0,draw
11933613,1-1,draw
11930797,1-4,away
11933618,1-1,draw
11904847,3-2,home
11933619,1-1,draw
11902153,4-1,home
11933919,1-3,away
11901858,0-1,away
11896442,2-1,home
11895949,2-4,away
11892132,0-1,away
11934532,0-4,away
11890745,7-2,home
11880555,4-2,home
11878855,1-4,away
11878854,1-0,home
11878853,3-0,home
11933921,0-0,draw
11865474,1-2,away
11933924,0-2,away
11933925,1-2,away
11933926,2-2,draw
11934225,0-2,away
11934226,0-0,draw
11934229,0-1,away
11887939,0-2,away
11902152,2-2,draw
11879632,5-0,home
11927395,6-0,home
11885114,2-0,home
11898753,2-1,home
11920568,0-0,draw
11928541,0-4,away
11943465,0-1,away
11909029,4-0,home
11969171,1-2,away
11969170,2-2,draw
11941796,3-0,home
11890428,1-1,draw
11890427,1-0,home
11943843,0-4,away
11911052,2-1,home
11911054,2-1,home
11942617,1-0,home
11930798,0-2,away
11941797,1-0,home
11871717,1-0,home
11871719,1-0,home
11941414,0-2,away
11910669,0-0,draw
11941412,0-0,draw
11942611,0-0,draw
11939019,1-1,draw
11927777,1-0,home
11939015,1-1,draw
11943471,1-0,home
11942612,2-0,home
11916309,1-1,draw
11945365,2-0,home
11928173,2-0,home
11927019,0-1,away
11928170,3-0,home
11911056,1-1,draw
11969944,0-1,away
11945360,1-0,home
11910292,0-0,draw
11981629,3-0,home
11981641,0-0,draw
11981642,1-1,draw
11910297,1-2,away
11877999,2-0,home
11981653,0-0,draw
11933621,0-2,away
11914239,1-1,draw
11892131,4-1,home
11876154,0-4,away
11941805,2-1,home
11901015,3-0,home
11874396,0-0,draw
11868762,2-1,home
11865668,1-0,home
11909914,1-2,away
11910290,2-0,home
11910289,0-3,away
11909916,0-0,draw
11901009,1-4,away
11936368,2-2,draw
11936366,1-1,draw
11936364,2-2,draw
11936361,0-1,away
11935661,0-1,away
11935659,2-7,away
11935652,1-3,away
11935279,1-1,draw
11867989,0-4,away
11864149,0-1,away
11867358,2-1,home
11935281,1-1,draw
11867360,2-2,draw
11935273,3-2,home
11935275,1-2,away
11935276,0-2,away
11942609,0-1,away
11928929,0-1,away
11865471,1-1,draw
11883007,2-0,home
11886157,2-3,away
11888436,2-1,home
11896435,2-0,home
11937583,1-2,away
11883003,1-1,draw
11896438,0-0,draw
11941409,0-1,away
11438049,1-0,home
11438048,0-0,draw
11438047,1-1,draw
11934531,0-2,away
11438046,1-2,away
11888625,2-3,away
11438045,4-1,home
11983151,3-0,home
11438042,3-2,home
11887086,1-1,draw
11910674,2-1,home
11910677,0-0,draw
11911058,2-1,home
11438043,4-2,home
11438044,1-5,away
11983506,1-1,draw
11983257,1-1,draw
11878495,1-3,away
11890429,1-1,draw
11901860,1-1,draw
11895950,4-0,home
11943847,1-1,draw
11910291,3-3,draw
11982035,2-0,home
11927014,0-2,away
11874861,0-3,away
11883002,1-0,home
11874860,0-1,away
11875570,0-2,away
11871715,1-1,draw
11888438,0-2,away
11896436,0-1,away
11878679,4-0,home
11981617,2-3,away
11983504,0-1,away
11809435,1-3,away
11809439,1-1,draw
11809440,1-2,away
11981654,2-0,home
11878680,0-4,away
11935656,1-0,home
11937579,1-3,away
11950872,0-0,draw
11950870,4-1,home
11950869,2-0,home
11950868,0-0,draw
11982843,1-0,home
11950661,3-0,home
11923055,1-0,home
11923056,0-0,draw
11964745,2-1,home
11964744,1-0,home
11946269,2-1,home
11946268,1-3,away
11923062,1-0,home
11878675,3-0,home
11895947,0-1,away
11967035,0-0,draw
11901852,3-1,home
11948237,3-1,home
11967032,1-0,home
11967033,1-2,away
11923054,3-1,home
11923058,0-3,away
11923061,0-0,draw
11906489,2-0,home
11964747,3-0,home
11983796,0-0,draw
11984244,2-1,home
11983570,1-0,home
11883006,2-0,home
11950658,2-1,home
11942943,1-2,away
11428299,0-1,away
11809441,1-2,away
11946954,2-1,home
11942942,4-3,home
11942941,0-1,away
11942939,4-1,home
11809433,2-1,home
11950873,1-3,away
11942940,2-1,home
11878676,7-1,home
11983155,0-3,away
11983263,1-1,draw
11809436,2-0,home
11946270,3-0,home
11809432,3-0,home
11981436,5-3,home
11946960,2-1,home
11950662,1-1,draw
11906490,3-1,home
11906499,0-5,away
11984380,1-1,draw
11428295,1-3,away
11428298,1-4,away
11950871,0-2,away
11950874,1-2,away
11878677,2-1,home
11950660,0-0,draw
11983845,0-0,draw
11967031,1-2,away
11906496,1-1,draw
11906495,0-0,draw
11983469,1-1,draw
11983475,2-4,away
11858527,2-2,draw
11858532,0-2,away
11914108,2-0,home
11947246,5-2,home
11947247,2-0,home
11914109,1-0,home
11858528,0-1,away
11858535,2-3,away
11977824,4-0,home
11983647,0-2,away
11983651,4-2,home
11983652,1-0,home
11905363,2-0,home
11977825,2-1,home
11898933,4-2,home
11946513,0-0,draw
11957394,0-0,draw
11874577,1-1,draw
11983527,4-0,home
11982185,1-1,draw
11905308,1-1,draw
11952713,2-0,home
11905306,1-3,away
11983101,1-0,home
11905309,1-4,away
11905305,4-1,home
11982037,0-2,away
11959112,1-0,home
11973266,1-5,away
11964244,1-1,draw
11981977,4-2,home
11981978,0-0,draw
11969259,2-1,home
11940679,1-2,away
11978896,2-1,home
11983549,1-0,home
11974079,0-1,away
11916310,0-1,away
11975438,0-0,draw
11965144,0-3,away
11865670,0-0,draw
11865671,0-1,away
11892133,0-0,draw
11981984,2-4,away
11981983,1-3,away
11872370,0-1,away
11872372,1-1,draw
11872373,3-2,home
11914241,4-1,home
11905364,7-1,home
11905362,5-4,home
11983528,2-0,home
11905307,5-0,home
11905360,1-1,draw
11983550,1-1,draw
11865470,2-1,home
11891423,3-1,home
11959119,1-0,home
11965145,0-3,away
11957889,0-0,draw
11957888,2-0,home
11957887,0-3,away
11957886,4-1,home
11947476,1-0,home
11887088,1-0,home
11901854,2-0,home
11973277,5-1,home
11973254,1-1,draw
11973242,4-0,home
11973206,3-0,home
11973241,0-2,away
11957890,2-3,away
11952638,0-1,away
11947479,4-4,draw
11947478,1-1,draw
11872061,3-1,home
11957891,1-2,away
11957892,3-3,draw
11957893,1-0,home
11886160,2-1,home
11871350,1-0,home
11876972,0-1,away
11936369,1-2,away
11937576,4-3,home
11892930,0-0,draw
11981427,3-4,away
11918981,1-3,away
11922756,2-0,home
11964748,3-0,home
11922755,0-1,away
11922752,2-2,draw
11948238,2-0,home
11964743,4-1,home
11950612,3-1,home
11901856,2-0,home
11428297,0-0,draw
11906494,1-1,draw
11809437,1-0,home
11946955,2-1,home
11878678,0-1,away
11946958,2-0,home
11946959,1-1,draw
11946266,2-1,home
11906498,1-0,home
11946265,0-0,draw
11946271,1-1,draw
11946953,0-3,away
11983300,5-2,home
11967036,1-0,home
11977837,0-2,away
11858531,5-1,home
11947254,3-2,home
11947252,5-4,home
11947251,3-3,draw
11980772,1-2,away
11947248,5-2,home
11947250,3-2,home
11947249,2-2,draw
11936059,0-1,away
11936053,0-1,away
11981678,3-1,home
11980778,3-1,home
11858534,0-2,away
11977665,5-1,home
11936056,0-2,away
11977838,8-0,home
11960794,3-0,home
11960791,1-1,draw
11977839,0-1,away
11960788,1-0,home
11960789,0-1,away
11960793,2-2,draw
11960792,1-2,away
11974356,3-4,away
11894929,5-0,home
11969949,1-1,draw
11980770,5-1,home
11975977,0-4,away
11955587,1-0,home
11983529,0-0,draw
11936060,2-1,home
11935940,2-1,home
11935933,0-4,away
11936054,3-0,home
11977669,0-1,away
11983596,1-0,home
11974352,1-2,away
11980764,0-2,away
11979233,0-0,draw
11979427,0-4,away
11887097,1-0,home
11973165,0-3,away
11960790,0-0,draw
11965142,2-0,home
11980043,0-2,away
11874870,1-1,draw
11955589,3-2,home
11983530,3-1,home
11874868,1-0,home
11980766,4-0,home
11868768,6-0,home
11868774,5-0,home
11868773,0-2,away
11874871,0-1,away
11917523,3-1,home
11965143,2-1,home
11887099,1-2,away
11979241,0-0,draw
11867374,1-0,home
11912530,2-1,home
11981935,1-2,away
11982992,0-0,draw
11981939,2-0,home
11981938,2-1,home
11983503,1-3,away
11983561,4-0,home
11983283,1-3,away
11981936,3-2,home
11892955,2-2,draw
11918056,1-1,draw
11918983,0-0,draw
11876403,1-1,draw
11879429,0-1,away
11892465,0-2,away
11980045,0-2,away
11879067,2-2,draw
11973821,2-2,draw
11981218,2-0,home
11918052,1-0,home
11981219,0-3,away
11892956,1-1,draw
11882838,1-0,home
11882837,2-1,home
11918028,0-2,away
11918042,4-1,home
11892931,1-1,draw
11918036,4-2,home
11918845,4-1,home
11892957,3-0,home
11893415,1-0,home
11955588,2-0,home
11964746,0-0,draw
11871349,0-4,away
11871351,1-1,draw
11871352,1-0,home
11868772,0-1,away
11871358,0-3,away
11871357,0-1,away
11871356,3-0,home
11871355,2-0,home
11871354,1-1,draw
11871353,1-1,draw
11867367,1-4,away
11966980,1-1,draw
11984246,2-2,draw
11984248,2-1,home
11428294,0-5,away
11946267,0-1,away
11977827,1-6,away
11977826,3-1,home
11858529,2-0,home
11981677,4-0,home
11980756,0-1,away
11980768,0-3,away
11982875,0-4,away
11979244,1-1,draw
11979243,1-1,draw
11979240,0-3,away
11979235,1-0,home
11979232,1-3,away
11936058,1-0,home
11979247,0-4,away
11981676,5-0,home
11980039,0-2,away
11974353,0-3,away
11978491,1-1,draw
11954780,4-0,home
11980888,1-1,draw
11858533,3-0,home
11980748,2-1,home
11978490,0-0,draw
11936754,1-2,away
11868504,1-1,draw
11868503,1-0,home
11868506,2-0,home
11868507,1-0,home
11979287,0-0,draw
11979285,0-1,away
11979283,1-1,draw
11977423,0-1,away
11977420,1-0,home
11887096,1-1,draw
11868509,1-2,away
11880156,0-4,away
11868505,1-2,away
11868232,1-0,home
11983609,1-3,away
11946521,0-1,away
11983531,2-0,home
11965766,0-1,away
11957635,2-4,away
11977734,2-3,away
11977736,5-1,home
11977737,0-7,away
11983588,1-1,draw
11983589,1-1,draw
11983591,3-1,home
11983590,0-1,away
11978047,1-0,home
11952640,0-1,away
11969951,1-2,away
11969953,0-1,away
11969950,2-3,away
11969954,1-1,draw
11969955,2-2,draw
11969956,0-1,away
11981679,2-0,home
11974350,2-1,home
11977670,0-1,away
11977667,4-0,home
11894925,3-2,home
11978107,0-1,away
11956250,1-1,draw
11954784,4-0,home
11982876,5-0,home
11956582,1-1,draw
11954790,2-2,draw
11956256,0-2,away
11980760,4-2,home
11909420,2-1,home
11868236,0-1,away
11868234,2-1,home
11974355,4-0,home
11955591,1-2,away
11977418,1-2,away
11977419,0-1,away
11977422,0-1,away
11983156,2-1,home
11977426,1-0,home
11977425,2-2,draw
11977424,3-1,home
11964245,0-1,away
11868237,1-0,home
11979245,2-1,home
11880152,8-1,home
11983601,1-1,draw
11909889,3-2,home
11983592,1-1,draw
11969254,0-0,draw
11978856,1-2,away
11983594,5-1,home
11983593,3-1,home
11977666,6-0,home
11977664,3-0,home
11983610,1-2,away
11909884,1-1,draw
11980750,1-2,away
11985210,1-1,draw
11979289,1-0,home
11979425,0-2,away
11943358,2-0,home
11974354,1-0,home
11887093,1-0,home
11969952,0-0,draw
11868235,4-1,home
11868230,2-1,home
11936345,1-1,draw
11868233,1-0,home
11868231,2-3,away
11980040,3-2,home
11880153,1-1,draw
11979236,1-1,draw
11914530,1-1,draw
11979242,2-1,home
11955592,5-1,home
11977100,1-2,away
11977672,1-0,home
11977673,1-2,away
11981985,2-0,home
11921511,3-1,home
11969258,0-1,away
11874869,1-2,away
11980758,0-2,away
11985211,4-0,home
11959106,1-1,draw
11883010,6-1,home
11874873,2-0,home
11868775,1-2,away
11868770,2-2,draw
11868769,4-1,home
11979426,1-2,away
11868776,0-1,away
11874872,3-3,draw
11874867,0-3,away
11903355,0-0,draw
11887098,4-1,home
11943362,1-1,draw
11883009,1-0,home
11966979,0-2,away
11973816,2-1,home
11878681,1-1,draw
11935252,1-1,draw
11947477,1-4,away
11883011,1-0,home
11973814,3-0,home
11973818,3-0,home
11973820,0-0,draw
11979246,2-0,home
11880154,0-1,away
11867370,2-0,home
11867368,2-0,home
11926652,4-0,home
11973817,1-1,draw
11904844,1-1,draw
11943361,2-3,away
11943355,1-1,draw
11867371,2-1,home
11867372,2-1,home
11867373,2-1,home
11978639,2-5,away
11879639,0-3,away
11879635,2-1,home
11879636,1-1,draw
11879637,0-0,draw
11879638,2-1,home
11980041,2-0,home
11973819,1-0,home
11902874,1-4,away
11879634,2-2,draw
11902873,3-1,home
11902872,2-1,home
11943359,1-0,home
11955593,4-0,home
11868767,2-0,home
11867375,5-2,home
11966986,0-2,away
11883012,3-0,home
11938642,3-0,home
11938641,1-0,home
11883008,2-1,home
11809451,1-0,home
11980869,3-0,home
11809444,0-1,away
11809443,2-0,home
11985092,2-2,draw
11809449,3-0,home
11878682,7-0,home
11809448,0-0,draw
11809446,2-1,home
11983302,0-3,away
11983571,1-1,draw
11984678,3-0,home
11984635,2-0,home
11883013,2-0,home
11984633,2-1,home
11982888,0-2,away
11977840,0-7,away
11977841,4-0,home
11977842,2-2,draw
11977690,1-2,away
11904068,2-3,away
11904074,1-0,home
11985565,0-0,draw
11980776,2-1,home
11982881,0-3,away
11980044,1-2,away
11980774,3-2,home
11978495,1-0,home
11974351,0-1,away
11885123,1-1,draw
11885122,1-4,away
11885676,2-2,draw
11885675,2-2,draw
11885673,0-0,draw
11978492,0-0,draw
11885120,1-1,draw
11885119,1-0,home
11978493,2-2,draw
11978494,0-0,draw
11983595,2-1,home
11965760,0-1,away
11983533,1-1,draw
11978496,3-2,home
11978402,3-0,home
11980754,3-5,away
11982882,5-0,home
11984683,2-2,draw
11978497,0-3,away
11964246,1-1,draw
11977421,2-1,home
11983534,4-0,home
11977671,1-1,draw
11980762,3-2,home
11974357,2-1,home
11985213,0-1,away
11887094,3-1,home
11880155,1-1,draw
11980046,1-1,draw
11984684,1-0,home
11955590,2-1,home
11983535,6-1,home
11977668,2-0,home
11980752,3-0,home
11985214,1-1,draw
11885121,1-0,home
11887095,0-1,away
11917594,2-3,away
11983140,1-1,draw
11943363,0-4,away
11878687,5-1,home
11926651,0-1,away
11878686,2-3,away
11943356,1-1,draw
11867369,0-2,away
11926648,0-2,away
11973815,2-3,away
11980042,0-0,draw
11943364,0-0,draw
11967661,3-2,home
11967662,3-1,home
11967660,0-2,away
11967659,0-1,away
11967657,2-1,home
11955586,2-1,home
11966992,0-3,away
11867366,1-2,away
11983303,2-2,draw
11878683,2-0,home
11809450,1-1,draw
11809445,5-1,home
11809442,2-0,home
11809447,6-1,home
11967658,0-3,away
11967656,2-4,away
11967655,2-1,home
11878684,3-1,home
11878685,0-3,away
11985094,0-0,draw
11984680,1-0,home
11984433,2-0,home
11951344,0-3,away
11858537,4-1,home
11957638,2-0,home
11957399,2-1,home
11980889,1-0,home
11975187,0-0,draw
11957398,3-0,home
11960510,3-0,home
11947255,0-12,away
11955683,1-2,away
11960516,4-1,home
11955682,2-1,home
11947257,2-1,home
11947262,1-2,away
11945369,2-1,home
11955685,1-2,away
11978446,3-1,home
11978445,1-1,draw
11978443,1-0,home
11978442,1-1,draw
11978441,0-0,draw
11978440,1-0,home
11978439,0-1,away
11978444,1-3,away
11879852,1-3,away
11957640,0-2,away
11960511,3-0,home
11960513,1-0,home
11927027,0-2,away
11927029,2-3,away
11955687,3-1,home
11879850,4-1,home
11926653,3-1,home
11904070,3-2,home
11927032,3-2,home
11908919,0-0,draw
11908920,1-2,away
11910307,2-2,draw
11978447,4-1,home
11896445,1-1,draw
11960515,2-1,home
11960512,6-1,home
11943360,2-1,home
11955689,3-0,home
11955684,3-1,home
11858538,0-3,away
11858544,1-4,away
11980890,0-1,away
11959427,3-0,home
11941826,1-1,draw
11957401,1-0,home
11933250,5-0,home
11933251,2-1,home
11933249,0-1,away
11933248,0-0,draw
11933247,3-1,home
11933246,2-0,home
11933245,1-1,draw
11933244,0-1,away
11933253,2-0,home
11933242,2-1,home
11933243,0-1,away
11933252,1-0,home
11938489,0-2,away
11983607,0-0,draw
11957405,1-1,draw
11957639,1-2,away
11957645,1-3,away
11983608,0-2,away
11977932,2-0,home
11977933,2-0,home
11872382,0-0,draw
11872383,4-2,home
11872376,1-1,draw
11872377,1-2,away
11872381,0-0,draw
11985446,4-2,home
11962805,0-0,draw
11909429,2-0,home
11985113,0-1,away
11985112,2-1,home
11982041,1-0,home
11983597,1-3,away
11983599,2-1,home
11927033,3-1,home
11927787,3-0,home
11974080,2-2,draw
11910301,0-2,away
11904071,3-2,home
11910305,0-0,draw
11874401,2-2,draw
11896454,2-2,draw
11969172,6-0,home
11969173,2-0,home
11969174,0-6,away
11983537,0-0,draw
11938884,4-0,home
11910302,1-0,home
11909920,1-0,home
11948947,3-0,home
11963631,2-0,home
11975444,3-0,home
11975781,0-1,away
11916323,3-1,home
11985114,0-4,away
11865682,4-0,home
11910304,3-1,home
11985115,5-1,home
11910308,1-0,home
11878006,0-2,away
11865676,3-0,home
11983600,4-1,home
11892140,1-0,home
11864155,0-1,away
11867992,1-0,home
11954197,0-4,away
11878504,3-0,home
11904504,1-2,away
11914243,5-2,home
11885877,0-1,away
11896446,1-3,away
11885879,2-2,draw
11868786,1-0,home
11891432,2-2,draw
11897605,0-2,away
11891731,2-0,home
11903243,2-2,draw
11865481,0-0,draw
11968666,1-1,draw
11907814,2-2,draw
11878003,0-3,away
11897606,0-1,away
11897607,10-1,home
11897608,2-2,draw
11887105,2-0,home
11897267,0-1,away
11927025,1-4,away
11897610,3-3,draw
11872064,2-2,draw
11908523,1-2,away
11914536,1-1,draw
11872066,2-4,away
11975758,2-1,home
11975782,1-0,home
11872067,3-0,home
11872068,1-1,draw
11872069,1-1,draw
11880560,0-0,draw
11897609,4-3,home
11872063,1-4,away
11942378,3-3,draw
11952642,3-2,home
11872062,1-1,draw
11872065,2-1,home
11871722,0-2,away
11954198,2-1,home
11931515,3-0,home
11931516,2-0,home
11888449,0-4,away
11887943,3-2,home
11886168,2-2,draw
11864153,4-2,home
11876983,2-2,draw
11937587,0-0,draw
11981431,0-0,draw
11868777,0-4,away
11981432,0-4,away
